REF_PARCELA,X,Y,DIRECCION_CATASTRO,ESTADO_CATASTRO,ZONA
2031905BC5923S,0.148926097382528,38.7498512459288,CL GIOVANNI BOCACCIO 5(S) JAVEA/XABIA (ALICANTE),OK,1
0478114BC5907N,0.127282910644762,38.7907537543671,CL MUELA 1 JAVEA/XABIA (ALICANTE),OK,2
6943630BC5964S,0.2002879735689,38.7616588067469,UR PARQUE CALABLANCA 3 JAVEA/XABIA (ALICANTE),OK,11
6945614BC5964S,0.200922922976414,38.763045618268,UR PARQUE CALABLANCA 51 JAVEA/XABIA (ALICANTE),OK,11
6945617BC5964S,0.20070410598372,38.7630708250516,UR PARQUE CALABLANCA 52 JAVEA/XABIA (ALICANTE),OK,11
6945619BC5964S,0.200771179279645,38.7632801895438,UR PARQUE CALABLANCA 56 JAVEA/XABIA (ALICANTE),OK,11
6945610BC5964S,0.200923173799995,38.7634189737419,UR PARQUE CALABLANCA 59 JAVEA/XABIA (ALICANTE),OK,11
6945638BC5964S,0.200587947866793,38.7634694993716,UR PARQUE CALABLANCA 47 JAVEA/XABIA (ALICANTE),OK,11
6943620BC5964S,0.200116367290414,38.7619629040605,UR PARQUE CALABLANCA 9 JAVEA/XABIA (ALICANTE),OK,11
6943616BC5964S,0.20004769531449,38.7615207880774,UR PARQUE CALABLANCA 1 JAVEA/XABIA (ALICANTE),OK,11
6945642BC5964S,0.200498490814122,38.7630644546349,UR PARQUE CALABLANCA 39 JAVEA/XABIA (ALICANTE),OK,11
6943623BC5964S,0.200738689146499,38.7619034953701,UR PARQUE CALABLANCA 22 JAVEA/XABIA (ALICANTE),OK,11
6943632BC5964S,0.200364172246275,38.7618407314049,UR PARQUE CALABLANCA 7 JAVEA/XABIA (ALICANTE),OK,11
6943622BC5964S,0.200530087082013,38.7619000265449,UR PARQUE CALABLANCA 21 JAVEA/XABIA (ALICANTE),OK,11
6943627BC5964S,0.200871662020305,38.7616073904185,UR PARQUE CALABLANCA 28 JAVEA/XABIA (ALICANTE),OK,11
6943609BC5964S,0.201086232460282,38.761643615699,UR PARQUE CALABLANCA 30 JAVEA/XABIA (ALICANTE),OK,11
6943619BC5964S,0.200110169692112,38.7618741930793,UR PARQUE CALABLANCA 8 JAVEA/XABIA (ALICANTE),OK,11
6943610BC5964S,0.201103302611619,38.7615336596672,UR PARQUE CALABLANCA 27 JAVEA/XABIA (ALICANTE),OK,11
6943634BC5964S,0.200655071671407,38.7618053607183,UR PARQUE CALABLANCA 19 JAVEA/XABIA (ALICANTE),OK,11
6943631BC5964S,0.200320555050266,38.7617084187967,UR PARQUE CALABLANCA 6 JAVEA/XABIA (ALICANTE),OK,11
6943621BC5964S,0.200322788398783,38.7619044267707,UR PARQUE CALABLANCA 10 JAVEA/XABIA (ALICANTE),OK,11
6945648BC5964S,0.200431022182168,38.7633361823539,UR PARQUE CALABLANCA 45 JAVEA/XABIA (ALICANTE),OK,11
6943635BC5964S,0.200660729757755,38.7617136004715,UR PARQUE CALABLANCA 18 JAVEA/XABIA (ALICANTE),OK,11
6943608BC5964S,0.201085927741044,38.7618133454951,UR PARQUE CALABLANCA 31 JAVEA/XABIA (ALICANTE),OK,11
6945641BC5964S,0.200512324388069,38.7631109143756,UR PARQUE CALABLANCA 42 JAVEA/XABIA (ALICANTE),OK,11
6943618BC5964S,0.200087310742832,38.7617731001284,UR PARQUE CALABLANCA 5 JAVEA/XABIA (ALICANTE),OK,11
6945618BC5964S,0.200754819922443,38.7631246555726,UR PARQUE CALABLANCA 53 JAVEA/XABIA (ALICANTE),OK,11
6943607BC5964S,0.201082953147758,38.7619130082605,UR PARQUE CALABLANCA 34 JAVEA/XABIA (ALICANTE),OK,11
6945620BC5964S,0.200804390680257,38.7633431504662,UR PARQUE CALABLANCA 57 JAVEA/XABIA (ALICANTE),OK,11
6945640BC5964S,0.200535477797815,38.7632545386514,UR PARQUE CALABLANCA 43 JAVEA/XABIA (ALICANTE),OK,11
6943612BC5964S,0.200841477776316,38.7614463896991,UR PARQUE CALABLANCA 25 JAVEA/XABIA (ALICANTE),OK,11
