REF_PARCELA,X,Y,DIRECCION_CATASTRO,ESTADO_CATASTRO,ZONA
7319410BC5971N,0.207560507262278,38.7395173996043,UR COSTA NOVA PLA 175 JAVEA/XABIA (ALICANTE),OK,12
7929306BC5972N,0.213909948293532,38.7498660809721,CL DEL BEDOLL 3 JAVEA/XABIA (ALICANTE),OK,12
2465909BC5926N,0.14978955720706,38.7813954968705,CL CASTELLON 7 JAVEA/XABIA (ALICANTE),OK,1
7818712BC5971N,0.211311682077091,38.7398651367526,CR GUARDIA LA 173 JAVEA/XABIA (ALICANTE),OK,12
2944016BC5924S,0.154378607013683,38.7615539495173,CL MAR DE NORUEGA 65 JAVEA/XABIA (ALICANTE),OK,1
8128036BC5982N,0.215113231643303,38.7485940853241,CL DEL CASTANYER 4(A) JAVEA/XABIA (ALICANTE),OK,12
1533909BC5913S,0.139040836251728,38.7517202295108,CL VIRGILIO 11 JAVEA/XABIA (ALICANTE),OK,1
7191011BC5974S,0.202657596524246,38.7601125490595,CL CONGRE 2 JAVEA/XABIA (ALICANTE),OK,12
8821013BC5982S,0.2235272999288,38.7424897654087,UR BALCON AL MAR E 69 JAVEA/XABIA (ALICANTE),OK,12
5143512BC5954S,0.180681128874594,38.7605331124907,CM ADSUBIES 424(O) Polígono 27 JAVEA/XABIA (ALICANTE),OK,1
4341007BC5944S,0.170545082845612,38.759029088047,CL RIO JUCAR 13 JAVEA/XABIA (ALICANTE),OK,1
7230002BC5972N,0.203732545750601,38.7505043497117,CL DE L'ALFALS 3 JAVEA/XABIA (ALICANTE),OK,12
8986308BC4998N,0.109403439862093,38.8000395164683,CL ACUARIO 1 JAVEA/XABIA (ALICANTE),OK,2
3250526BC5935S,0.158518333999554,38.7680945422988,CL RIO GUADALQUIVIR 21 JAVEA/XABIA (ALICANTE),OK,1
0013048BC5905S,0.147387850690316,38.7788937973312,CR GATA 28 JAVEA/XABIA (ALICANTE),OK,1
4739302BC5943N,0.176125778437691,38.7581993543797,CL AMELIA PELAEZ 34 JAVEA/XABIA (ALICANTE),OK,1
2281009BC5928S,0.144563864404743,38.7948453434848,CL UTRERA 2 JAVEA/XABIA (ALICANTE),OK,2
8528408BC5982N,0.221269984604298,38.7486963921419,CL TRUITA 9 JAVEA/XABIA (ALICANTE),OK,12
5639607BC5953N,0.18544474297991,38.7587049649212,CM ADSUBIES 93 JAVEA/XABIA (ALICANTE),OK,12
2267907BC5926N,0.147570157464049,38.7841947895144,CL HOLANDA 12 JAVEA/XABIA (ALICANTE),OK,1
2074707BC5927S,0.145260584564805,38.7890149408104,CM CARRASQUETES 15 JAVEA/XABIA (ALICANTE),OK,2
7331416BC5973S,0.205621488454349,38.7514623030042,CL DE LA VIOLETA 37 JAVEA/XABIA (ALICANTE),OK,12
4281607BC5948S,0.167897378372141,38.795524071903,CL PUIG MOLINS 27 JAVEA/XABIA (ALICANTE),OK,1
0478152BC5907N,0.126121269761229,38.7918233846235,CL CABEÇO 12 JAVEA/XABIA (ALICANTE),OK,2
3550803BC5935S,0.161636687009277,38.768125243228,CL RIO SIL 20 JAVEA/XABIA (ALICANTE),OK,1
1871453BC5917S,0.141307050762912,38.7862791070675,CM TOSSALS 24(D) JAVEA/XABIA (ALICANTE),OK,1
8513026BC5981S,0.222448616894141,38.7369503329537,UR BALCON AL MAR B 43 JAVEA/XABIA (ALICANTE),OK,12
1472720BC5917S,0.137190221458943,38.7866614667797,CL PUERTO RICO 5(G) JAVEA/XABIA (ALICANTE),OK,1
11953B8BC5917N,0.133715121275917,38.7905941242386,CL SERRA D'EN CANES 12 JAVEA/XABIA (ALICANTE),OK,2
8616312BC5981N,0.221844667398584,38.7382542343773,UR BALCON AL MAR B 32 JAVEA/XABIA (ALICANTE),OK,12
6924001BC5962S,0.200666647175728,38.7450621012062,CL MILA 53 JAVEA/XABIA (ALICANTE),OK,12
7328814BC5972N,0.206401094850368,38.7484141455364,CL DE L'AGRET 17 JAVEA/XABIA (ALICANTE),OK,12
1871418BC5927S,0.145863237370157,38.7869599853452,CM TOSSALS 6 JAVEA/XABIA (ALICANTE),OK,1
0084974BC5908S,0.121347137110185,38.7965394626988,CL ALTAR 18 JAVEA/XABIA (ALICANTE),OK,2
3550503BC5934N,0.16199045233366,38.767381561044,CL RIO SIL 24 JAVEA/XABIA (ALICANTE),OK,1
6538709BC5963N,0.196214658309584,38.7573809017037,CL NOGUERA LA 10 JAVEA/XABIA (ALICANTE),OK,12
7014702BC5971S,0.202516074142582,38.7358145423893,CL GAFARRO 8 JAVEA/XABIA (ALICANTE),OK,12
1731319BC5913S,0.141664612733593,38.7500475850747,CL ARTHUR RIMBAUD 7 JAVEA/XABIA (ALICANTE),OK,1
8510806BC5981S,0.220453290193056,38.7337175763188,UR BALCON AL MAR A 89 JAVEA/XABIA (ALICANTE),OK,12
8518220BC5981N,0.219950764414079,38.7397493410863,UR BALCON AL MAR D 119 CL/ ISAAC ALBENIZ JAVEA/XABIA (ALICANTE),OK,12
6627812BC5962N,0.197792994662207,38.7476708762361,CL ROBLE 23(A) JAVEA/XABIA (ALICANTE),OK,12
7626304BC5972N,0.208527132741671,38.7470274320604,CL DEL FICUS 8 JAVEA/XABIA (ALICANTE),OK,12
8814007BC5981S,0.224139132998553,38.7366048232372,CL GEORGE GERSHWIN 25 JAVEA/XABIA (ALICANTE),OK,12
03082A02500101,0.181080731831567,38.7794283584813,CR CABO DE LA NAO PLA 94 Polígono 25 Parcela 101 CERVERAS. JAVEA/XABIA (ALICANTE),OK,1
0681610BC5907N,0.128893328872736,38.7934529920687,CL MONTGO 18 JAVEA/XABIA (ALICANTE),OK,2
5640103BC5954S,0.186317100689829,38.7593861941265,CM ADSUBIES 92 JAVEA/XABIA (ALICANTE),OK,12
9686165BC4998S,0.114442250140357,38.797925311704,CL OSA MENOR 5 JAVEA/XABIA (ALICANTE),OK,2
2267926BC5926N,0.148340921203873,38.7826289855263,CL NORUEGA 1 JAVEA/XABIA (ALICANTE),OK,1
7039316BC5973N,0.202728148444196,38.7584593914956,CL LLIDONER 7 JAVEA/XABIA (ALICANTE),OK,12
0871717BC5907S,0.130035087321634,38.7858979988535,CL GROENLANDIA 3 JAVEA/XABIA (ALICANTE),OK,1
4938027BC5943N,0.177041049123482,38.7574768578814,CL ALBERTO BURRI 11 JAVEA/XABIA (ALICANTE),OK,1
9217008BC5991N,0.228215024804287,38.7395331056732,CL FELIX MENDELSSOHN 18 JAVEA/XABIA (ALICANTE),OK,12
5736717BC5953S,0.187204844916219,38.7543723220765,CL PITA LA 4 JAVEA/XABIA (ALICANTE),OK,12
5144708BC5954S,0.179674922199553,38.7625011494,CM ADSUBIES 60 JAVEA/XABIA (ALICANTE),OK,1
6241005BC5964S,0.193488147508492,38.7600320133686,CL FLOR DE NEU LA 30 JAVEA/XABIA (ALICANTE),OK,12
7014401BC5971S,0.203650158018714,38.7360236004823,CL GAFARRO 1 JAVEA/XABIA (ALICANTE),OK,12
2843703BC5924S,0.153462301772756,38.7620407355179,CL MAR CANTABRICO 36 JAVEA/XABIA (ALICANTE),OK,1
0881261BC5908S,0.124439070961189,38.7944534613508,CL TARRAC 13 JAVEA/XABIA (ALICANTE),OK,2
7718703BC5971N,0.210517273248619,38.7401454616724,UR COSTA NOVA PLA 109 JAVEA/XABIA (ALICANTE),OK,12
6223702BC5962S,0.194862999106803,38.7442108372033,CR GRANADELLA LA 9 JAVEA/XABIA (ALICANTE),OK,12
7921502BC5972S,0.213733277234246,38.7429183845705,CR GUARDIA LA 800(G) JAVEA/XABIA (ALICANTE),OK,12
5538009BC5953N,0.184927125950796,38.7574649599536,CM ADSUBIES 139 JAVEA/XABIA (ALICANTE),OK,12
6939318BC5963N,0.201488939904338,38.7586261976199,UR TOSALET 1250 JAVEA/XABIA (ALICANTE),OK,12
7137009BC5973N,0.203261022218798,38.7563227796174,PD CM CAP MARTI 173 JAVEA/XABIA (ALICANTE),OK,12
9787921BC4998N,0.116580625885198,38.8004065905054,CL FENIX 8 JAVEA/XABIA (ALICANTE),OK,2
5839409BC5953N,0.189946605913197,38.7610292366067,CL RABET DE GAT 5 JAVEA/XABIA (ALICANTE),OK,12
2176813BC5927N,0.145287787268359,38.7894520136164,CM CARRASQUETES 16 JAVEA/XABIA (ALICANTE),OK,2
1733302BC5913S,0.141952436660636,38.7525785068657,CL LUIS CERNUDA 3 JAVEA/XABIA (ALICANTE),OK,1
0084927BC4998S,0.119364229777639,38.7951865482219,CL PENYAPARDA 6 JAVEA/XABIA (ALICANTE),OK,2
3631516BC5933S,0.164565091305932,38.7511313984285,CL LAGO TANGANYKA 17 PARCELA RESULTANTE Nº36 JAVEA/XABIA (ALICANTE),OK,1
0007003BC5900N,0.137068516673424,38.7612474394516,CM TARRAULLA 50 JAVEA/XABIA (ALICANTE),OK,1
8525317BC5982N,0.222417832143258,38.747666435579,CL DENTOL 29 JAVEA/XABIA (ALICANTE),OK,12
6331409BC5963S,0.194720163253206,38.7511064516044,CL ENEBRO 9 JAVEA/XABIA (ALICANTE),OK,12
7616016BC5971N,0.209715091812196,38.737531673637,CR GRANADELLA LA 43 JAVEA/XABIA (ALICANTE),OK,12
2578934BC5927N,0.149599812054788,38.7938855138633,CL MALAGA 16 JAVEA/XABIA (ALICANTE),OK,2
7331412BC5973S,0.206341829698293,38.7505448075948,CL DE LA VIOLETA 29 JAVEA/XABIA (ALICANTE),OK,12
2794507BC5924S,0.152503537172419,38.7615342800554,CL MAR CANTABRICO 75 JAVEA/XABIA (ALICANTE),OK,1
2270404BC5927S,0.147872583343303,38.7860628586238,CL CANTALLOPS 6 JAVEA/XABIA (ALICANTE),OK,1
9320502BC5991N,0.229705400625675,38.7418216389354,UR BALCON AL MAR G 104 JAVEA/XABIA (ALICANTE),OK,12
