N_Fijo,CODIGO_VT,Ref_Catastral_Fin,AFORO,VALORCATASTRAL,COEFICIENTE_CATASTRAL,TASA_VIVIENDA,PLUS_VIVIENDA_TURISTICA,TASA_TOTAL,VALORCATASTRAL_NUM,COEFICIENTE_CATASTRAL_NUM,TASA_VIVIENDA_NUM,TASA_TOTAL_NUM,FINCA,HOJA,INMUEBLE,CONTROL,HOJA_BASE,ZONA
1018924,497618,5272702BC5957S0025QI,8,"47.067,25","0,820","132,38",160,"292,38",47067.25,0.82,132.38,292.38,5272702,BC5957S,0025,QI,BC5957,Arenal / Canal / Montañar
1016164,497192,9286601BC4998N0001IE,8,"47.311,15","0,825","132,42",160,"292,42",47311.15,0.825,132.42,292.42,9286601,BC4998N,0001,IE,BC4998,Les Fonts / Castellans
1008287,494539,2669806BC5926N0001ZX,8,"47.527,95","0,828","132,45",160,"292,45",47527.95,0.828,132.45,292.45,2669806,BC5926N,0001,ZX,BC5926,Rafalet / Lluca / Covatelles
1008615,490451,2866710BC5926N0001KX,8,"47.644,74","0,830","132,47",160,"292,47",47644.74,0.83,132.47,292.47,2866710,BC5926N,0001,KX,BC5926,Rafalet / Lluca / Covatelles
1010416,500351,9284153BC4998S0001SA,8,"47.917,55","0,835","132,52",160,"292,52",47917.55,0.835,132.52,292.52,9284153,BC4998S,0001,SA,BC4998,Les Fonts / Castellans
1011655,467278,6660008BC5964N0011ZA,8,"48.673,50","0,848","132,63",160,"292,63",48673.5,0.848,132.63,292.63,6660008,BC5964N,0011,ZA,BC5964,Puerto / Aduanas
1017727,505464,2065601BC5926N0001LX,8,"49.456,37","0,862","132,76",160,"292,76",49456.37,0.862,132.76,292.76,2065601,BC5926N,0001,LX,BC5926,Rafalet / Lluca / Covatelles
1004664,465889,0012012BC5905S0001ST,8,"49.666,25","0,866","132,79",160,"292,79",49666.25,0.866,132.79,292.79,0012012,BC5905S,0001,ST,BC5905,Montgó / Toscamar
1005791,486229,2578964BC5927N0001OH,8,"49.971,62","0,871","132,84",160,"292,84",49971.62,0.871,132.84,292.84,2578964,BC5927N,0001,OH,BC5927,Rafalet / Lluca / Covatelles
1016127,444732,0007001BC5900N0001XR,8,"50.004,43","0,871","132,84",160,"292,84",50004.43,0.871,132.84,292.84,0007001,BC5900N,0001,XR,BC5900,Montgó / Toscamar
1009447,477299,2625817BC5922S0001WI,8,"50.019,10","0,872","132,85",160,"292,85",50019.1,0.872,132.85,292.85,2625817,BC5922S,0001,WI,BC5922,Rafalet / Lluca / Covatelles
1013964,447969,2843722BC5924S0001FL,8,"50.294,07","0,877","132,89",160,"292,89",50294.07,0.877,132.89,292.89,2843722,BC5924S,0001,FL,BC5924,Rafalet / Lluca / Covatelles
1012435,475796,0084928BC4998S0001YA,8,"50.366,74","0,878","132,90",160,"292,90",50366.74,0.878,132.9,292.9,0084928,BC4998S,0001,YA,BC4998,Les Fonts / Castellans
1005853,465443,0017040BC5905S0001QT,8,"50.799,70","0,885","132,97",160,"292,97",50799.7,0.885,132.97,292.97,0017040,BC5905S,0001,QT,BC5905,Montgó / Toscamar
1006674,479879,2578956BC5927N0001PH,8,"50.898,43","0,887","132,98",160,"292,98",50898.43,0.887,132.98,292.98,2578956,BC5927N,0001,PH,BC5927,Rafalet / Lluca / Covatelles
1014138,505867,6660008BC5964N0024IZ,8,"50.991,22","0,889","133,00",160,"293,00",50991.22,0.889,133.0,293.0,6660008,BC5964N,0024,IZ,BC5964,Puerto / Aduanas
1010974,488122,5372020BC5957S0021MR,8,"51.032,97","0,889","133,00",160,"293,00",51032.97,0.889,133.0,293.0,5372020,BC5957S,0021,MR,BC5957,Arenal / Canal / Montañar
1017436,431268,1868535BC5917S0001JB,8,"51.307,82","0,894","133,05",160,"293,05",51307.82,0.894,133.05,293.05,1868535,BC5917S,0001,JB,BC5917,Montgó / Toscamar
1010532,444092,6145537BC5964S0001WS,8,"51.333,87","0,895","133,05",160,"293,05",51333.87,0.895,133.05,293.05,6145537,BC5964S,0001,WS,BC5964,Puerto / Aduanas
1019301,471319,3665616BC5937S0007YA,8,"51.678,67","0,901","133,11",160,"293,11",51678.67,0.901,133.11,293.11,3665616,BC5937S,0007,YA,BC5937,Casco urbano / Pueblo
1008482,454093,2229310BC5923S0001JW,8,"51.989,90","0,906","133,15",160,"293,15",51989.9,0.906,133.15,293.15,2229310,BC5923S,0001,JW,BC5923,Rafalet / Lluca / Covatelles
1010599,505584,9580906BC4998S0001AA,8,"52.052,44","0,907","133,16",160,"293,16",52052.44,0.907,133.16,293.16,9580906,BC4998S,0001,AA,BC4998,Les Fonts / Castellans
